STX.N21.1,[NH2+]=C1N[C@@H](COC(NC)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.2,[NH2+]=C1N[C@@H](COC(N(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N7.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](N(C)C2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N9.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2C)N1CCC3(O)O
STX.C10.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C(C)CC3(O)O
STX.C13.1,[NH2+]=C1N[C@@H](CO)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.C13.2,[NH2+]=C1N[C@@H](COC(C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.C13.3,[NH2+]=C1N[C@@H](COC(C(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
GTX.2,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C[C@@H](OS([O-])(=O)=O)C3(O)O
GTX.3,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C[C@H](OS([O-])(=O)=O)C3(O)O
STX.C11.1,OCO.[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
TTX,[NH2+]=C1N[C@H](O)[C@H]([C@]([C@@H]2O)3N1)[C@@H](O[C@]2(O)O4)[C@@](O)(CO)[C@@H]4[C@H]3O
ZTX,[NH2+]=C1N[C@@]2([H])[C@](N(COC(NO)=O)C3=[NH2+])([H])[C@@]4(N3)N1C[C@@](O[S](O)([O-])=O)(C[C@H]([C@H](CO)CO5)N5C2=O)C4(O)O
STX.C11.3,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@H]3O
STX.C11.4,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@@H]3O
TTX.C4.1,[NH2+]=C1NC2[C@H]([C@]([C@@H]3O2)4N1)[C@@H](O[C@]3(O)O5)[C@@](O)(CO)[C@@H]5[C@H]4O
STX.C10.1.C13.2,[NH2+]=C1N[C@@H](COC(C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1[C@@H](C)CC3(O)O
STX.C12.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3
STX.C11.6,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1C[C@H](O[S]([O-])(C)=O)C3(O)O
STX.N21.1,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CCC2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.3,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CCC2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.4,[NH2+]=C1N[C@@H](COC(NCCCCCCC)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.5,[NH2+]=C1N[C@@H](COC(NCCCCCC([O-])=O)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.6,[NH2+]=C1N[C@@H](COC(NCCCCCC[NH3+])=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.7,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CC(CCCCCCCC(NC[C@@H]3C[C@@H]4C=C[C@H]3C4)=O)C2=O)=O)=O)=O)[C@H](NC5=[NH2+])[C@]6(N5)N1CCC6(O)O
STX.N21.8,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(C=C(CCCCCCCC(NCCNC(CCCC[C@@H]3SC[C@@](N4)([H])[C@]3([H])NC4=O)=O)=O)C2=O)=O)=O)=O)[C@H](NC5=[NH2+])[C@]6(N5)N1CCC6(O)O
STX.N21.9,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CC(CCCCCCCC(NCCNC(C3=CC4(COC3=O)=CC=C(N(CC)CC)C=C4)=O)=O)C2=O)=O)=O)=O)[C@H](NC5=[NH2+])[C@]6(N5)N1CCC6(O)O
STX.N21.10,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CC(CCCCCCCC(NCCCCNC(C(C)=O)=O)=O)C2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.11,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(C=C(CCCCCCCC(NCCNC(C3=CC4(COC3=O)=CC=C(N(CC)CC)C=C4)=O)=O)C2=O)=O)=O)=O)[C@H](NC5=[NH2+])[C@]6(N5)N1CCC6(O)O
STX.N21.12,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CC2=CC=C(C(C3=CC=CC=C3)=O)C=C2)=O)=O)[C@H](NC4=[NH2+])[C@]5(N4)N1CCC5(O)O
STX.N21.13,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CCC2(N=N2)C)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.14,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CNC(C2=CC3=C(C=C(N(CC)CC)C=C3)OC2=O)=O)=O)=O)[C@H](NC4=[NH2+])[C@]5(N4)N1CCC5(O)O
STX.N21.15,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(C2=C(F)C(F)=C(N=[N+]=[N-])C(F)=C2F)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.16,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CCC2(N=N2)CCCCCNC(CCCC[C@H]3[C@](NC(N4)=O)([H])[C@]4([H])CS3)=O)=O)=O)[C@H](NC5=[NH2+])[C@]6(N5)N1CCC6(O)O
STX.N21.17,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CCCCCN(C(C=CC(S(=O)([O-])=O)=C2)=C2C/3(C)C)C3=C\C=C\C4=[N+](C)C5=C(C=C(S(=O)([O-])=O)C=C5)C4(C)C)=O)=O)[C@H](NC6=[NH2+])[C@]7(N6)N1CCC7(O)O
STX.N21.18,[NH2+]=C1N[C@@H](COC(NCCCCCC[NH3+])=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.19,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(C=C(CCC3=CN(CCCNC(CCCCC[N+]4=C(/C=C/C=C/C=C5N(C)C6=CC=CC=C6C/5(C)C)C(C)(C)C7=C4C=CC=C7)=O)N=N3)C2=O)=O)=O)=O)[C@H](NC8=[NH2+])[C@]9(N8)N1CCC9(O)O
STX.N21.20,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CCCN(C2=CC=C(/C=C/C(C(C)(C)O/3)=C(C#N)C3=C(C#N)\C#N)C=C2)C)=O)=O)[C@H](NC4=[NH2+])[C@]5(N4)N1CCC5(O)O
STX.N21.21,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CC(CCCCCCCCC(C)=O)C2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.22,[NH2+]=C1N[C@@H](COC(NC2CCCCC2)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.23,[NH2+]=C1N[C@@H](COC(N2CCCC2)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.2,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC(N2)=[NH2+])[C@@]3(O)N1CC[C@]32O
STX.N21.24,[NH2+]=C1N[C@@H](COC(NC(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.25,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(C2=CC=C(F)C=C2)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.26,[NH2+]=C1N[C@@H](COC(NCCNC(CI)=O)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.27,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(C(CCC#C)CC2=O)=O)=O)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.28,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(CC(CCC3=CN(CCCNC(CCCCC[N+]4=C(/C=C/C=C/C=C5N(C)C6=CC=CC=C6C/5(C)C)C(C)(C)C7=C4C=CC=C7)=O)N=N3)C2=O)=O)=O)=O)[C@H](NC8=[NH2+])[C@]9(N8)N1CCC9(O)O
STX.N21.29,[NH2+]=C1N[C@@H](COC(NCCNC(CCN2C(C=C(CCC3=CN(CCCNC(C)=O)N=N3)C2=O)=O)=O)=O)[C@H](NC4=[NH2+])[C@]5(N4)N1CCC5(O)O
GTX.3.1,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1[C@@H](C)[C@H](OS([O-])(=O)=O)C3(O)O
GTX.3.2,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1[C@@H](CCC)[C@H](OS([O-])(=O)=O)C3(O)O
STX.C11.7,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC(CC([O-])=O)C3(O)O
STX.C11.3.N21.30,[NH2+]=C1N[C@@H](COC(N(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@H]3O
STX.C11.4.N21.31,[NH2+]=C1N[C@@H](COC(N(C)C)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@@H]3O
STX.N21.32,[NH2+]=C1N[C@@H](COC(CCC([O-])=O)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
GTX.5,[NH2+]=C1N[C@@H](COC(NS(=O)([O-])=O)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CCC3(O)O
STX.N21.33,[NH2+]=C1N[C@@H](COC(NCCNC(C2=CC=C(C(C3=CC=CC=C3)=O)C=C2)=O)=O)[C@H](NC4=[NH2+])[C@]5(N4)N1CCC5(O)O
STX.N21.34,[NH2+]=C1N[C@@H](COC(NCC2=CC=C(C(C3=CC=C(C(NCCCCCCNC(CCCC[C@@H]4SC[C@@](N5)([H])[C@]4([H])NC5=O)=O)=O)C=C3)=O)C=C2)=O)[C@H](NC6=[NH2+])[C@]7(N6)N1CCC7(O)O
STX.N21.35,[NH2+]=C1N[C@@H](COC(NCC2(N=N2)C)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.N21.36,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(C2=CC=C(C(C(C=C(F)C(O)=C3)=C3O4)=C5C4=CC(C(F)=C5)=O)C(CC(O)=O)=C2)=O)=O)[C@H](NC6=[NH2+])[C@]7(N6)N1CCC7(O)O
STX.N21.37,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CCCCC[N+]2=C(/C=C/C=C/C=C3C(C)(C)C4=CC=CC=C4N/3C)C(C)(C)C5=C2C=CC=C5)=O)=O)[C@H](NC6=[NH2+])[C@]7(N6)N1CCC7(O)O
STX.N21.38,[NH2+]=C1N[C@@H](COC(NCCCCCCNC(CCCN(C)C2=CC=C(/C=C/C(C(C)(C)O/3)=C(C#N)C3=C(C#N)\C#N)C=C2)=O)=O)[C@H](NC4=[NH2+])[C@]5(N4)N1CCC5(O)O
STX.C13.4,[NH2+]=C1N[C@@H](COC(C2=CC=CC=C2)=O)[C@H](NC3=[NH2+])[C@]4(N3)N1CCC4(O)O
STX.C12.2,[NH2+]=C1N[C@@H](COC(N)=O)[C@H](NC2=[NH2+])[C@]3(N2)N1CC[C@@]3(CCC)O
